*** NumlTest_DecisionTreeTest ***
* Raw *
Result 71: 64 op, 188100900.13 ns, 2.9391 ms/op
Result 72: 64 op, 186935301.7 ns, 2.9209 ms/op
Result 73: 64 op, 189259804.84 ns, 2.9572 ms/op
Result 74: 64 op, 192094368.85 ns, 3.0015 ms/op
Result 75: 64 op, 203828892.65 ns, 3.1848 ms/op
Result 76: 64 op, 243209786.74 ns, 3.8002 ms/op
Result 77: 64 op, 234702970.98 ns, 3.6672 ms/op
Result 78: 64 op, 217061023 ns, 3.3916 ms/op
Result 79: 64 op, 215469704.48 ns, 3.3667 ms/op
Result 80: 64 op, 223096073.96 ns, 3.4859 ms/op
Result 81: 64 op, 197748770.7 ns, 3.0898 ms/op
Result 82: 64 op, 207729541.9 ns, 3.2458 ms/op
Result 83: 64 op, 197517614.5 ns, 3.0862 ms/op
Result 84: 64 op, 245688691.51 ns, 3.8389 ms/op
Result 85: 64 op, 223536966.47 ns, 3.4928 ms/op
Result 86: 64 op, 266817617.32 ns, 4.1690 ms/op
Result 87: 64 op, 211063010.59 ns, 3.2979 ms/op
Result 88: 64 op, 217745120.4 ns, 3.4023 ms/op
Result 89: 64 op, 215541104.08 ns, 3.3678 ms/op
Result 90: 64 op, 187137898.06 ns, 2.9240 ms/op
Result 91: 64 op, 187215098.87 ns, 2.9252 ms/op
Result 92: 64 op, 226239441.23 ns, 3.5350 ms/op
Result 93: 64 op, 189411082.73 ns, 2.9595 ms/op
Result 94: 64 op, 191557086.88 ns, 2.9931 ms/op
Result 95: 64 op, 191586539.21 ns, 2.9935 ms/op
Result 96: 64 op, 216269826.22 ns, 3.3792 ms/op
Result 97: 64 op, 217890150.83 ns, 3.4045 ms/op
Result 98: 64 op, 228838386.57 ns, 3.5756 ms/op
Result 99: 64 op, 217274775.55 ns, 3.3949 ms/op
Result 100: 64 op, 194974003.85 ns, 3.0465 ms/op
Result 101: 64 op, 231624309.6 ns, 3.6191 ms/op
Result 102: 64 op, 195019521.1 ns, 3.0472 ms/op
Result 103: 64 op, 186826863.56 ns, 2.9192 ms/op
Result 104: 64 op, 187144591.77 ns, 2.9241 ms/op
Result 105: 64 op, 234084918.22 ns, 3.6576 ms/op
Result 106: 64 op, 190680656.82 ns, 2.9794 ms/op
Result 107: 64 op, 192001549.37 ns, 3.0000 ms/op
Result 108: 64 op, 191470514.87 ns, 2.9917 ms/op
Result 109: 64 op, 186111975.1 ns, 2.9080 ms/op
Result 110: 64 op, 226100658.26 ns, 3.5328 ms/op
Result 111: 64 op, 262423864.6 ns, 4.1004 ms/op
Result 112: 64 op, 234004147.42 ns, 3.6563 ms/op
Result 113: 64 op, 256630233.53 ns, 4.0098 ms/op
Result 114: 64 op, 280850761.9 ns, 4.3883 ms/op
Result 115: 64 op, 252095466.62 ns, 3.9390 ms/op
Result 116: 64 op, 271196643.86 ns, 4.2374 ms/op
Result 117: 64 op, 250031572.01 ns, 3.9067 ms/op
Result 118: 64 op, 251462687.69 ns, 3.9291 ms/op
Result 119: 64 op, 270846339.59 ns, 4.2320 ms/op
